,cus1,cus2,Match
591,22655064,21425142,No Match
592,22655064,20805323,No Match
593,22699794,22679794,Match
594,22720269,22705069,No Match
595,22751586,22708615,No Match
596,22699794,22679794,Match
597,22734451,22714706,No Match
598,22717209,21405187,No Match
599,22736917,20864575,No Match
600,22688726,22274537,No Match
601,22683430,21360497,No Match
602,21278767,22726058,No Match
603,22699794,22679794,Match
604,22733947,20360102,No Match
605,21491499,22752794,No Match
606,22699794,22727574,No Match
607,22719904,21467675,No Match
608,22693699,22693679,Match
609,22756164,21487876,No Match
610,22752261,21450771,No Match
611,21109399,22693646,No Match
612,21438002,21438702,Match
613,21400311,21214003,No Match
614,22761888,21446578,No Match
615,22734789,21344528,No Match
616,22654117,22735745,No Match
617,20196155,22156876,No Match
618,22692431,22692531,Match
619,22759560,22737566,No Match
620,22723858,22674649,No Match
621,22762708,22762078,No Match
622,21195057,21493239,No Match
623,22766423,20746352,No Match
624,20801971,22762143,No Match
625,22737846,22660862,No Match
626,22742895,22647621,No Match
627,21427635,22669420,No Match
628,20557573,22746407,No Match
629,21302953,22753412,No Match
630,22752296,22725947,No Match
631,22726335,21422727,No Match
632,22647621,21377384,No Match
633,22769545,20250798,No Match
634,22714706,22714895,No Match
635,20072265,22711831,No Match
636,22753412,20906658,No Match
637,22731208,21445034,No Match
638,22725947,20974201,No Match
639,22721591,22767228,No Match
640,20019027,21529389,No Match
641,22685114,22714706,No Match
642,22712587,22697607,No Match
643,20973723,21154057,No Match
644,22667746,22765053,No Match
645,22667746,22663136,No Match
646,22770411,22761714,No Match
647,21191519,22755168,No Match
648,22704742,20384745,No Match
649,22645249,22679794,No Match
650,20942813,20771513,No Match
651,20334584,20889768,No Match
652,20987833,20738055,No Match
653,22682595,21340042,No Match
654,22746835,22719076,No Match
655,20936944,20917146,No Match
656,22737979,20591306,No Match
657,21013615,22725789,No Match
658,22748110,21279575,No Match
659,22699122,22717146,No Match
660,22644611,22127459,No Match
661,22766213,22731149,No Match
662,21186948,22715408,No Match
663,21186948,22651888,No Match
664,21186948,20978094,No Match
665,22769712,21445034,No Match
666,21261172,21470951,No Match
667,22722017,20904094,No Match
668,22759005,21382621,No Match
669,22738172,21451836,No Match
670,22702734,20825816,No Match
671,22737466,22769443,No Match
672,22737466,20209506,No Match
673,22760734,22713587,No Match
674,21168673,20979593,No Match
675,20048642,22664438,No Match
676,22704742,22705742,Match
677,22748295,22290893,No Match
678,22736919,22762147,No Match
679,22770279,22752704,No Match
680,22748544,21434216,No Match
681,22720269,22744667,No Match
682,22703209,22703290,No Match
683,22711820,20965241,No Match
684,22733704,21468764,No Match
685,22727803,22748295,No Match
686,22759005,22759105,Match
687,22699794,22679794,Match
688,21399855,21379825,No Match
689,22751722,22753301,No Match
690,22746401,22746101,Match
691,21368133,21493804,No Match
692,20460799,22755046,No Match
693,20536585,22725044,No Match
694,22702965,22672567,No Match
695,22702965,22676263,No Match
696,22748766,22747904,No Match
697,22746585,22682879,No Match
698,22746585,21349202,No Match
699,22676263,22652543,No Match
700,22682879,22739826,No Match
701,22682879,22753912,No Match
702,21349202,20368270,No Match
703,22693278,22734215,No Match
704,22765732,21414237,No Match
705,21433022,21053438,No Match
706,22747473,21385214,No Match
707,22739826,22719519,No Match
708,22656562,22740766,No Match
709,21436966,22679794,No Match
710,22737489,22769843,No Match
711,22729006,22746271,No Match
712,20703004,22737466,No Match
713,20980193,22715285,No Match
714,22678075,22743445,No Match
715,20536585,21412235,No Match
716,22671171,22758648,No Match
717,22771277,22735150,No Match
718,21344101,20437092,No Match
719,21344101,22702464,No Match
720,22710987,20530209,No Match
721,22710987,22755983,No Match
722,21412235,21490705,No Match
723,20842481,22768489,No Match
724,20842481,21411476,No Match
725,21244403,22753301,No Match
726,22740021,20958589,No Match
727,22727798,22726798,Match
728,22768565,21345988,No Match
729,22704941,21291957,No Match
730,22747009,22731971,No Match
731,22768369,22722169,No Match
732,20829314,20869314,Match
733,22756132,21159648,No Match
734,22670147,20596547,No Match
735,22749517,22774957,No Match
736,22748035,22748835,Match
737,22755173,22731733,No Match
738,22722213,21291434,No Match
739,20511712,22705752,No Match
740,21320303,20274684,No Match
741,22743467,20887604,No Match
742,22759377,22722169,No Match
743,22766744,22741649,No Match
744,22766662,22738066,No Match
745,22767834,22648278,No Match
746,22725463,22719759,No Match
747,20256504,22725583,No Match
748,22699794,22761795,No Match
749,22699794,22679794,Match
750,22756710,20497954,No Match
751,22748857,22759153,No Match
752,22766744,22769744,Match
753,22688070,22688078,Match
754,22751996,22751986,Match
755,22698950,22739177,No Match
756,22737466,22737566,Match
757,22683871,21451602,No Match
758,22670799,22562182,No Match
759,21337119,21237119,Match
760,22750320,22750020,Match
761,22723884,22715850,No Match
762,22762078,22774085,No Match
763,22714685,22174685,No Match
764,22722746,22723746,Match
765,22677003,22686590,No Match
766,22737101,22657360,No Match
767,22727459,20431448,No Match
768,21205366,20545264,No Match
769,21037622,21414237,No Match
770,21333822,21516910,No Match
771,22725463,22725563,Match
772,22647403,22704918,No Match
773,22742150,22737105,No Match
774,22753301,21363852,No Match
775,22736896,22648278,No Match
776,21400529,21434618,No Match
777,22699794,22679794,Match
778,22710650,21228433,No Match
779,22699240,22756710,No Match
780,22696118,20758918,No Match
781,22746407,21278767,No Match
782,20544704,22733198,No Match
783,22764863,22743784,No Match
784,22731257,21359831,No Match
785,21385214,22717683,No Match
786,21249512,22766363,No Match
787,20917146,22738172,No Match
788,20917146,22727689,No Match
789,22771447,22701447,Match
790,22767888,22767228,No Match
791,22762387,22703397,No Match
792,22754704,22748038,No Match
793,22758967,22768158,No Match
794,22770458,20437029,No Match
795,21485861,22772118,No Match
796,22720411,22686560,No Match
797,22688901,20813172,No Match
798,22751808,22762078,No Match
799,22768969,22686618,No Match
800,22768228,21768228,Match
801,22769843,22769824,No Match
802,21428716,21428216,Match
803,22726271,22726279,Match
804,22728066,22728076,Match
805,20889768,20289768,Match
806,21471181,21477181,Match
807,22717146,22717143,Match
808,22720359,22730359,Match
809,22733205,22773205,Match
810,21068356,21968356,Match
811,22672900,22673900,Match
812,22727779,22727910,No Match
813,22693233,22789092,No Match
814,22681910,22681990,Match
815,22681910,22658620,No Match
816,22746547,21412895,No Match
817,22748566,22619796,No Match
818,22757344,20687373,No Match
819,22660211,22660311,Match
820,22748033,22748073,Match
821,21433891,21473891,Match
822,22764449,20916467,No Match
823,22671525,22734668,No Match
824,22746906,22300000,No Match
825,21079543,21879543,Match
826,22731419,22731519,Match
827,22764863,22655874,No Match
828,22723911,22647403,No Match
829,22721773,22681748,No Match
830,22761614,22761644,Match
831,22686170,22666170,Match
832,22686170,22736372,No Match
833,22667191,22667199,Match
834,22723858,21039497,No Match
835,22767888,22739376,No Match
836,22702028,22727798,No Match
837,22746579,22706579,Match
838,20768776,21458521,No Match
839,22704587,21414237,No Match
840,20589958,20587958,Match
841,22756311,22755917,No Match
842,20988801,20924801,No Match
843,22656623,20581385,No Match
844,22699794,22679794,Match
845,22677772,21128955,No Match
846,20628515,22737466,No Match
847,22742036,22653166,No Match
848,22700017,22742836,No Match
849,22747009,22747709,Match
850,22728869,22739265,No Match
851,22715867,22734475,No Match
852,21064377,21060377,Match
853,21288029,22681911,No Match
854,22734385,21324428,No Match
855,22763951,22744263,No Match
856,22719004,22720250,No Match
857,22736098,22726096,No Match
858,22679502,22726585,No Match
859,21155548,22759205,No Match
860,22734157,20976976,No Match
861,22748038,22767328,No Match
862,22771857,21453560,No Match
863,22731075,22684328,No Match
864,22765908,21422727,No Match
865,22760712,22763591,No Match
866,22765732,22761732,Match
867,22706231,20150423,No Match
868,20988176,22717209,No Match
869,22753796,21244403,No Match
870,22700136,22739590,No Match
871,22737101,21267172,No Match
872,22759958,22758405,No Match
873,22691159,22690015,No Match
874,22738505,21317654,No Match
875,22739580,22754873,No Match
876,21399855,21399845,Match
877,22651888,22659397,No Match
878,21384301,22628091,No Match
879,22759908,22678079,No Match
880,22711820,22739590,No Match
881,22731480,21406823,No Match
882,22676091,22748379,No Match
883,22737072,21219652,No Match
884,22739223,22739423,Match
885,22691296,22693233,No Match
886,22708100,22708170,Match
887,22761412,22756154,No Match
888,22722017,22908165,No Match
889,22688724,20391929,No Match
890,21149115,22737619,No Match
891,22722017,22757904,No Match
892,22755991,22725947,No Match
893,20771097,20771897,Match
894,22760473,22733198,No Match
895,22688334,22738664,No Match
896,22752717,22752712,Match
897,22700821,22726844,No Match
898,22737637,22763067,No Match
899,21304022,22667193,No Match
900,22716588,22745374,No Match
901,21278767,22647621,No Match
902,22721227,22721727,Match
903,22764974,22765974,Match
904,22737438,21427635,No Match
905,22747934,22708615,No Match
906,22770479,22723578,No Match
907,21124092,22124092,Match
908,22670645,22670615,Match
909,22743380,20625955,No Match
910,22724222,22714706,No Match
911,22724222,22724242,Match
912,22757670,22750750,No Match
913,20262664,21262664,Match
914,22693233,22050374,No Match
915,22770979,21464061,No Match
916,22755347,22705347,Match
917,20958556,20958756,Match
918,20825013,21824458,No Match
919,22732944,22652193,No Match
920,22730292,22764571,No Match
921,22758994,22758899,No Match
922,21043645,21843645,Match
923,21058885,21840169,No Match
924,22766622,22697428,No Match
925,22737438,22752751,No Match
926,22737438,22648278,No Match
927,22752779,22720226,No Match
928,21007561,22749482,No Match
929,20974894,22745376,No Match
930,22654144,22775347,No Match
931,20544704,22670053,No Match
932,22746589,22603962,No Match
933,22735698,22723858,No Match
934,20484347,20484357,Match
935,22746974,22756974,Match
936,22651112,22653412,No Match
937,22767886,21034179,No Match
938,22684709,22684739,Match
939,22706231,22757705,No Match
940,22706231,22756951,No Match
941,22706231,22773947,No Match
942,22706231,22762473,No Match
943,22733947,21191656,No Match
944,21349581,22699796,No Match
945,22707018,21160416,No Match
946,22661845,20491547,No Match
947,21191656,22694013,No Match
948,22763553,22761412,No Match
949,21053438,21053538,Match
950,20922135,20900213,No Match
951,22696852,22695068,No Match
952,20424223,22699151,No Match
953,22682503,20391929,No Match
954,22682503,20738963,No Match
955,22717800,22720269,No Match
956,22701270,21425142,No Match
957,22738159,20274266,No Match
958,22746425,22761022,No Match
959,22699151,22654173,No Match
960,22686320,20650513,No Match
961,20544704,20485243,No Match
962,22720269,22694187,No Match
963,20274266,22761212,No Match
964,21294293,21473681,No Match
965,21294293,22754508,No Match
966,21294293,21267555,No Match
967,22733053,22740542,No Match
968,22654173,22707129,No Match
969,22767888,21380371,No Match
970,20650513,22723193,No Match
971,22726271,22726279,Match
972,22768258,20591376,No Match
973,22652355,22973826,No Match
974,22728351,22728251,Match
975,21116172,22416172,No Match
976,22754316,21626260,No Match
977,21485339,21485392,No Match
978,22650659,22610659,Match
979,22696506,22696546,Match
980,20939352,20943837,No Match
981,21486532,21486522,Match
982,22742098,22752098,Match
983,22736918,22766918,Match
984,22720269,21872971,No Match
985,22646866,22646876,Match
986,22730679,22738679,Match
987,22733391,22724391,No Match
988,22652642,22652652,Match
989,P714101,n675000,No Match
990,P690888,n100000,No Match
991,P728997,n350000,No Match
992,P661358,n125000,No Match
993,P761667,P761167,Match
994,P764976,p226785,No Match
995,P737637,n200000,No Match
996,P759377,p938228,No Match
997,P687988,n306090,No Match
998,N149207,n500001,No Match
999,N142829,n100000,No Match
1000,N142998,n216000,No Match
1001,P712795,P712794,Match
1002,N010724,n400000,No Match
1003,N117459,n332000,No Match
1004,P714101,n800000,No Match
1005,P754731,n200000,No Match
1006,P715775,n100000,No Match
1007,P649796,p226197,No Match
1008,N064490,n600000,No Match
1009,N073790,n500000,No Match
